containment,filename
0.09282878842079689,0.fa
0.05586223967235382,1.fa
0.03292659846524093,2.fa
0.10116937694792971,3.fa
0.0367011138822706,4.fa
0.02957073959840384,5.fa
0.020152657603389912,6.fa
0.017809800315882196,7.fa
0.061834264568086494,8.fa
0.047776865285623416,9.fa
0.05356372388539188,10.fa
0.0573376723482365,11.fa
0.06874550999109108,12.fa
0.04450493817942003,13.fa
0.04672855949566623,14.fa
0.04475578158836091,15.fa
0.026169106603963987,16.fa
0.024896764137958716,17.fa
0.038942321966444315,18.fa
0.02660313762666988,19.fa
0.002981672473537089,20.fa
0.10762762623874378,21.fa
0.08621648403794024,22.fa
0.03483587002380473,23.fa
0.03420133362980837,24.fa
0.06847836026486664,25.fa
0.015335147717577047,26.fa
0.03358700873236864,27.fa
0.049331339500539584,28.fa
0.04254163434232727,29.fa
0.03581669392645359,30.fa
0.043948174134693874,31.fa
0.032366637406558874,32.fa
0.12210154295627329,33.fa
0.130350658731479,34.fa
0.059400053594551694,35.fa
0.04139684506864705,36.fa
0.061819303446053686,37.fa
0.0763344865234401,38.fa
0.045735901633423115,39.fa
0.06212846711592657,40.fa
0.06828121628359363,41.fa
0.1010252487484421,42.fa
0.21090235689476144,43.fa
0.017020304498053473,44.fa
0.03006880048400884,45.fa
0.028492236591841302,46.fa
0.024250417453426487,47.fa
0.05115581800480273,48.fa
0.02602355451180227,49.fa
0.030154714409822647,50.fa
0.11276028831879203,51.fa
0.16904957797638365,52.fa
0.2250018068725449,53.fa
0.05718063206016177,54.fa
0.02940670643000054,55.fa
0.0610234135124097,56.fa
0.038316027895135996,57.fa
0.010801553780338535,58.fa
0.130580033891338,59.fa
0.140354339620976,60.fa
0.04421642170813567,61.fa
0.10015868261115357,62.fa
0.02611834640690025,63.fa
4.948092607404142e-05,64.fa
0.0008612599519932651,65.fa
0.005590651220428899,66.fa
0.0005951247407695037,67.fa
